,Headlines,City,accented_city,latitude,longitude,countrycode,pop,cluster,x,y
211,Hepatitis C Outbreak in Danbury,Danbury,Danbury,41.39482,-73.45401,US,84657.0,0,-73.45401,41.39482
212,Chickenpox has Arrived in Chula Vista,Chula Vista,Chula Vista,32.64005,-117.0842,US,265757.0,0,-117.0842,32.64005
214,Will HIV vaccine help Las Vegas?,Las Vegas,Las Vegas,36.17497,-115.13722,US,623747.0,0,-115.13722,36.17497
215,Zika arrives in West Palm Beach,West Palm Beach,West Palm Beach,26.71534,-80.05337,US,106779.0,0,-80.05337,26.71534
216,Mobile authorities confirmed the spread of Bronchitis,Mobile,Mobile,30.69436,-88.04305,US,194288.0,0,-88.04305,30.69436
217,Zika spreads to Daytona Beach,Daytona Beach,Daytona Beach,29.21081,-81.02283,US,64736.0,0,-81.02283,29.21081
218,Lausanne Residents Recieve Meningitis vaccine,Lausanne,Lausanne,46.516,6.63282,CH,139111.0,2,6.63282,46.516
219,Rhinovirus Comes to San Jose,San Jose,San Jose,37.33939,-121.89496,US,1026908.0,0,-121.89496,37.33939
220,Spike of Chlamydia Cases in Farmington,Farmington,Farmington,36.72806,-108.21869,US,42871.0,0,-108.21869,36.72806
221,Authorities are Worried about the Spread of Rotavirus in Union,Union,Union,40.6976,-74.2632,US,56771.0,0,-74.2632,40.6976
222,Rumors about Hepatitis D spreading in Albany have been refuted,Albany,Albany,42.65258,-73.75623,US,98469.0,0,-73.75623,42.65258
223,Zika symptoms spotted in Bello,Bello,Bello,6.33732,-75.55795,CO,392939.0,0,-75.55795,6.33732
224,Will Meningitis vaccine help Hamburg?,Hamburg,Hamburg,53.55073,9.99302,DE,1845229.0,2,9.99302,53.55073
225,Madera Patient in Critical Condition after Contracting Rabies,Madera,Madera,36.96134,-120.06072,US,64208.0,0,-120.06072,36.96134
226,Zika Virus Detected in Lubbock,Lubbock,Lubbock,33.57786,-101.85517,US,249042.0,0,-101.85517,33.57786
227,Malaria re-emerges in Boise,Boise,Boise,43.6135,-116.20345,US,145987.0,0,-116.20345,43.6135
228,Varicella re-emerges in Lagos,Lagos,Lagos,6.45407,3.39467,NG,15388000.0,9,3.39467,6.45407
229,Vericella spreading in Ibadan,Ibadan,Ibadan,7.37756,3.90591,NG,3649000.0,9,3.90591,7.37756
230,Schools in Birmingham Closed Due to Measles Outbreak,Birmingham,Birmingham,52.48142,-1.89983,GB,1144919.0,2,-1.89983,52.48142
231,How to Avoid Hepatitis B in Waldorf,Waldorf,Waldorf,38.62456,-76.93914,US,67752.0,0,-76.93914,38.62456
234,Tuberculosis Outbreak in Newark,Newark,Newark,40.73566,-74.17237,US,281944.0,0,-74.17237,40.73566
235,Zika Virus Sparks 'International Concern',Sparks,Sparks,39.53491,-119.75269,US,96094.0,0,-119.75269,39.53491
236,Spike of Chlamydia Cases in Berlin,Berlin,Berlin,52.52437,13.41053,DE,3426354.0,2,13.41053,52.52437
237,Zika-carrying mosquitoes discovered in Ardmore,Ardmore,Ardmore,34.17426,-97.14363,US,25176.0,0,-97.14363,34.17426
238,"Zika Mosquitoes May Have Bred in Bromeliads, Florida Officials Say",Florida,Florida,21.52536,-78.22579,CU,63007.0,0,-78.22579,21.52536
239,More Livestock in Fontainebleau are infected with Mad Cow Disease,Fontainebleau,Fontainebleau,48.40908,2.70177,FR,19717.0,2,2.70177,48.40908
240,Frisco Woman Tests Positive For Zika Virus,Frisco,Frisco,33.15067,-96.82361,US,154407.0,0,-96.82361,33.15067
241,Authorities are Worried about the Spread of Norovirus in Dubai,Dubai,Dubai,25.07725,55.30927,AE,3478300.0,-1,55.30927,25.07725
242,Benton Residents Recieve Pneumonia vaccine,Benton,Benton,34.56454,-92.58683,US,34177.0,0,-92.58683,34.56454
243,Case of Hepatitis A Reported in Calgary,Calgary,Calgary,51.05011,-114.08529,CA,1019942.0,0,-114.08529,51.05011
244,Zika Outbreak in Pinewood,Pinewood,Pinewood,25.86898,-80.21699,US,16520.0,0,-80.21699,25.86898
245,Will Swine Flu vaccine help Ljubljana?,Ljubljana,Ljubljana,46.05108,14.50513,SI,272220.0,2,14.50513,46.05108
246,Bronchitis re-emerges in Tehran,Tehran,Tehran,35.69439,51.42151,IR,7153309.0,11,51.42151,35.69439
248,Mad Cow case in Murcia,Murcia,Murcia,37.98704,-1.13004,ES,460349.0,2,-1.13004,37.98704
249,Mad Cow Disease Spreads to Margate,Margate,Margate,51.38132,1.38617,GB,60134.0,2,1.38617,51.38132
250,Zika Strikes St. Petersburg,St. Petersburg,St. Petersburg,27.77086,-82.67927,US,257083.0,0,-82.67927,27.77086
252,Will the Mad Cow Outbreak Reach Vienna?,Vienna,Vienna,48.20849,16.37208,AT,1691468.0,2,16.37208,48.20849
253,More Patients in Orange are Getting Diagnosed with Chickenpox,Orange,Orange,33.78779,-117.85311,US,140992.0,0,-117.85311,33.78779
254,Lower Hospitalization in Richmond after Mumps Vaccine becomes Mandatory,Richmond,Richmond,37.55376,-77.46026,US,226610.0,0,-77.46026,37.55376
255,Meningitis re-emerges in Medina,Medina,Medina,24.46861,39.61417,SA,1300000.0,10,39.61417,24.46861
257,Four cases of Zika in Hidalgo County,Hidalgo,Hidalgo,25.97205,-100.45029,MX,16524.0,0,-100.45029,25.97205
258,Zika symptoms spotted in Hollywood,Hollywood,Hollywood,34.09834,-118.32674,US,167664.0,0,-118.32674,34.09834
259,Zika arrives in Oaxaca,Oaxaca,Oaxaca,17.06542,-96.72365,MX,255029.0,0,-96.72365,17.06542
260,More people in Durham are infected with Chlamydia every year,Durham,Durham,35.99403,-78.89862,US,257636.0,0,-78.89862,35.99403
261,Authorities are Worried about the Spread of Gonorrhea in Taoyuan City,Taoyuan City,Taoyuan City,24.99368,121.29696,TW,402014.0,3,121.29696,24.99368
262,Swine Flu re-emerges in La Jolla,La Jolla,La Jolla,32.84727,-117.2742,US,42808.0,0,-117.2742,32.84727
263,Tuberculosis Outbreak in Hartford,Hartford,Hartford,41.76371,-72.68509,US,121054.0,0,-72.68509,41.76371
264,Rumors about Mumps Spreading in New Bedford have been Refuted,New Bedford,New Bedford,41.63526,-70.92701,US,101079.0,0,-70.92701,41.63526
265,Respiratory Syncytial Virus Vaccine is now Required in Tulsa,Tulsa,Tulsa,36.15398,-95.99277,US,413066.0,0,-95.99277,36.15398
266,More people in Indianapolis are infected with Norovirus every year,Indianapolis,Indianapolis,39.76838,-86.15804,US,887642.0,0,-86.15804,39.76838
267,Lower Hospitalization in Dhaka after Measles Vaccine becomes Mandatory,Dhaka,Dhāka,26.67479,85.16698,IN,36111.0,7,85.16698,26.67479
268,Albany Residents Recieve Respiratory Syncytial Virus vaccine,Albany,Albany,42.65258,-73.75623,US,98469.0,0,-73.75623,42.65258
270,Rotavirus Vaccine is now Required in Starkville,Starkville,Starkville,33.45049,-88.81961,US,25366.0,0,-88.81961,33.45049
271,Schools in Yaounde Closed Due to Mumps Outbreak,Yaounde,Yaoundé,3.86667,11.51667,CM,1299369.0,9,11.51667,3.86667
272,More people in Nadi are infected with HIV every year,Nadi,Nadi,-17.80309,177.41617,FJ,42284.0,12,177.41617,-17.80309
273,Tocumen tests new cure for Hepatitis A,Tocumen,Tocumen,9.08939,-79.3831,PA,50844.0,0,-79.3831,9.08939
274,Phnom Penh hit by Zika Threat,Phnom Penh,Phnom Penh,11.56245,104.91601,KH,1573544.0,3,104.91601,11.56245
275,Zika Troubles come to Harlingen,Harlingen,Harlingen,26.19063,-97.6961,US,65774.0,0,-97.6961,26.19063
276,Zika spreads to Barranquilla,Barranquilla,Barranquilla,10.96854,-74.78132,CO,1206319.0,0,-74.78132,10.96854
277,Milwaukee authorities confirmed the spread of Rhinovirus,Milwaukee,Milwaukee,43.0389,-87.90647,US,600155.0,0,-87.90647,43.0389
278,Mad Cow Disease Hits Rotterdam,Rotterdam,Rotterdam,51.9225,4.47917,NL,598199.0,2,4.47917,51.9225
279,Zika symptoms spotted in Arlington,Arlington,Arlington,32.73569,-97.10807,US,388125.0,0,-97.10807,32.73569
280,West Nile Virus Hits Yogyakarta,Yogyakarta,Yogyakarta,-7.80139,110.36472,ID,373589.0,3,110.36472,-7.80139
281,More Patients in Dublin are Getting Diagnosed with Bronchitis,Dublin,Dublin,53.33306,-6.24889,IE,1024027.0,2,-6.24889,53.33306
282,Rumors about Tuberculosis Spreading in Baud have been Refuted,Baud,Baud,20.83773,84.32618,IN,18945.0,7,84.32618,20.83773
283,Rumors about West Nile Virus Spreading in Salem have been Refuted,Salem,Salem,11.65376,78.15538,IN,917414.0,7,78.15538,11.65376
284,St. Catharines Patient in Critical Condition after Contracting Dengue,St. Catharines,St. Catharines,43.17126,-79.24267,CA,133113.0,0,-79.24267,43.17126
286,More Zika patients reported in Camacari,Camacari,Camaçari,-12.6975,-38.32417,BR,188758.0,1,-38.32417,-12.6975
287,Outbreak of Zika in Pasig City,Pasig City,Pasig City,14.58691,121.0614,PH,617301.0,3,121.0614,14.58691
288,Zika Troubles come to Kampong Cham,Kampong Cham,Kampong Cham,11.99339,105.4635,KH,61750.0,3,105.4635,11.99339
289,Zika case reported in Rizal,Rizal,Rizal,15.7118,121.1061,PH,26201.0,3,121.1061,15.7118
290,Zika Spreads to Palm Beach Gardens,Palm Beach Gardens,Palm Beach Gardens,26.82339,-80.13865,US,52923.0,0,-80.13865,26.82339
291,More people in Saint Petersburg are infected with Varicella every year,Saint Petersburg,Saint Petersburg,59.93863,30.31413,RU,5351935.0,-1,30.31413,59.93863
292,Spike of Herpes Cases in Meriden,Meriden,Meriden,41.53815,-72.80704,US,59988.0,0,-72.80704,41.53815
293,Zika case reported in Abilene,Abilene,Abilene,32.44874,-99.73314,US,125182.0,0,-99.73314,32.44874
294,Outbreak of Zika in Palm Springs,Palm Springs,Palm Springs,33.8303,-116.54529,US,47371.0,0,-116.54529,33.8303
295,Halifax is infested with Swine Flu,Halifax,Halifax,44.64269,-63.57688,CA,439819.0,0,-63.57688,44.64269
296,Zika arrives in Natal,Natal,Natal,-5.795,-35.20944,BR,896708.0,1,-35.20944,-5.795
297,Herpes Keeps Spreading in Rochester,Rochester,Rochester,43.15478,-77.61556,US,209802.0,0,-77.61556,43.15478
298,Zika case reported in Phetchabun,Phetchabun,Phetchabun,16.41904,101.16056,TH,50656.0,3,101.16056,16.41904
299,How to Avoid Pneumonia in Bullhead City,Bullhead City,Bullhead City,35.14778,-114.5683,US,39445.0,0,-114.5683,35.14778
300,West Nile Virus re-emerges in Wellington,Wellington,Wellington,-41.28664,174.77557,NZ,381900.0,-1,174.77557,-41.28664
301,Rumors about Pneumonia spreading in Ottawa have been refuted,Ottawa,Ottawa,45.41117,-75.69812,CA,812129.0,0,-75.69812,45.41117
302,Meningitis re-emerges in Summerville,Summerville,Summerville,33.0185,-80.17565,US,48848.0,0,-80.17565,33.0185
303,Pneumonia Symptoms Spread all over Bloomington,Bloomington,Bloomington,44.8408,-93.29828,US,86435.0,0,-93.29828,44.8408
304,More Patients in Stuttgart are Getting Diagnosed with Rabies,Stuttgart,Stuttgart,48.78232,9.17702,DE,630305.0,2,9.17702,48.78232
305,Schools in Glasgow Closed Due to Hepatitis B Outbreak,Glasgow,Glasgow,55.86515,-4.25763,GB,626410.0,2,-4.25763,55.86515
306,Phoenix Residents Recieve Syphilis vaccine,Phoenix,Phoenix,33.44838,-112.07404,US,1608139.0,0,-112.07404,33.44838
308,Spanish flu spreading in Madrid,Madrid,Madrid,40.4165,-3.70256,ES,3255944.0,2,-3.70256,40.4165
309,Rabies Hits Madrid,Madrid,Madrid,40.4165,-3.70256,ES,3255944.0,2,-3.70256,40.4165
310,Zika Outbreak in Weslaco,Weslaco,Weslaco,26.15952,-97.99084,US,39474.0,0,-97.99084,26.15952
311,How to Avoid Chlamydia in Santiago,Santiago,Santiago,-33.45694,-70.64827,CL,4837295.0,-1,-70.64827,-33.45694
312,Rotavirus Vaccine is now Required in Las Cumbres,Las Cumbres,Las Cumbres,9.09211,-79.53895,PA,69102.0,0,-79.53895,9.09211
314,Mad Cow Outbreak Spreading in Ennis,Ennis,Ennis,52.84361,-8.98639,IE,25276.0,2,-8.98639,52.84361
315,Southampton Patient in Critical Condition after Contracting Tuberculosis,Southampton,Southampton,50.90395,-1.40428,GB,269781.0,2,-1.40428,50.90395
316,The Spread of Rhinovirus in Boardman has been Confirmed,Boardman,Boardman,41.02423,-80.66285,US,35376.0,0,-80.66285,41.02423
317,Richland Center is infested with Hepatitis B,Richland,Richland,46.28569,-119.28446,US,54248.0,0,-119.28446,46.28569
318,Authorities are Worried about the Spread of Chickenpox in Richmond,Richmond,Richmond,37.55376,-77.46026,US,226610.0,0,-77.46026,37.55376
319,Chikungunya re-emerges in Kobe,Kobe,Kobe,34.6913,135.183,JP,1522188.0,3,135.183,34.6913
320,Malaria Vaccine is now Required in Schenectady,Schenectady,Schenectady,42.81424,-73.93957,US,65305.0,0,-73.93957,42.81424
321,Hepatitis D has Arrived in Grenoble,Grenoble,Grenoble,45.17869,5.71479,FR,158552.0,2,5.71479,45.17869
322,West Nile Virus Symptoms Spread all over Yerevan,Yerevan,Yerevan,40.18111,44.51361,AM,1093485.0,11,44.51361,40.18111
323,Zika Outbreak in Sincelejo,Sincelejo,Sincelejo,9.30472,-75.39778,CO,277773.0,0,-75.39778,9.30472
324,Rumors about HIV spreading in Montpellier have been refuted,Montpellier,Montpellier,43.61093,3.87635,FR,248252.0,2,3.87635,43.61093
325,Praia tests new cure for Pneumonia,Praia,Praia,14.93152,-23.51254,CV,113364.0,5,-23.51254,14.93152
327,Lower Hospitalization in Lakewood after Hepatitis B Vaccine becomes Mandatory,Lakewood,Lakewood,39.70471,-105.08137,US,152597.0,0,-105.08137,39.70471
328,Zika spreads to Kuching,Kuching,Kuching,1.55,110.33333,MY,402738.0,3,110.33333,1.55
329,Spike of Rotavirus Cases in Omaha,Omaha,Omaha,41.25626,-95.94043,US,486051.0,0,-95.94043,41.25626
330,Tuberculosis re-emerges in Silver Springs,Springs,Springs,-26.25,28.4,ZA,186394.0,8,28.4,-26.25
331,Will West Nile Virus vaccine help Coronado?,Coronado,Coronado,32.68589,-117.18309,US,24812.0,0,-117.18309,32.68589
332,Zika case confirmed in Lorain,Lorain,Lorain,41.45282,-82.18237,US,63647.0,0,-82.18237,41.45282
333,Chickenpox Hits Simpsonville,Simpsonville,Simpsonville,34.73706,-82.25428,US,20736.0,0,-82.25428,34.73706
334,Framingham Residents Receive Measles vaccine,Framingham,Framingham,42.27926,-71.41617,US,68318.0,0,-71.41617,42.27926
335,Rumors about Mad Cow Disease Brighton have been Refuted,Brighton,Brighton,50.82838,-0.13947,GB,277103.0,2,-0.13947,50.82838
336,Zika case reported in Jacobina,Jacobina,Jacobina,-11.18143,-40.51372,BR,47637.0,1,-40.51372,-11.18143
337,Bridgeport authorities confirmed the spread of West Nile Virus,Bridgeport,Bridgeport,41.17923,-73.18945,US,147629.0,0,-73.18945,41.17923
339,Measles Vaccine is now Required in Wailuku,Wailuku,Wailuku,20.89133,-156.50604,US,15313.0,-1,-156.50604,20.89133
340,Zika symptoms spotted in Surat,Surat,Surat,21.19594,72.83023,IN,4591246.0,7,72.83023,21.19594
342,More contaminated cattle reported in Bedford,Bedford,Bedford,52.13459,-0.46632,GB,106940.0,2,-0.46632,52.13459
343,Zika in Tamarac!,Tamarac,Tamarac,26.21286,-80.24977,US,64681.0,0,-80.24977,26.21286
344,Will Measles vaccine help Milford?,Milford,Milford,41.22232,-73.0565,US,52759.0,0,-73.0565,41.22232
345,Spike of Norovirus Cases in Huddersfield,Huddersfield,Huddersfield,53.64904,-1.78416,GB,149017.0,2,-1.78416,53.64904
346,Rhinovirus Hits Bakersfield,Bakersfield,Bakersfield,35.37329,-119.01871,US,373640.0,0,-119.01871,35.37329
347,Lower Hospitalization in Papeete after Measles Vaccine becomes Mandatory,Papeete,Papeete,-17.5347,-149.56843,PF,26357.0,-1,-149.56843,-17.5347
348,Zika arrives in Udon Thani,Udon Thani,Udon Thani,17.41567,102.78589,TH,130531.0,3,102.78589,17.41567
349,Spike of Dengue Cases in Stockholm,Stockholm,Stockholm,59.32938,18.06871,SE,1515017.0,2,18.06871,59.32938
350,More people in Berkeley are infected with Swine Flu every year,Berkeley,Berkeley,37.87159,-122.27275,US,120972.0,0,-122.27275,37.87159
352,Zika only the latest mosquito-borne threat to New Orleans,New Orleans,New Orleans,29.95465,-90.07507,US,389617.0,0,-90.07507,29.95465
353,Will Swine Flu vaccine help Annapolis?,Annapolis,Annapolis,38.97859,-76.49184,US,39474.0,0,-76.49184,38.97859
354,Lower Hospitalization in Monroe after Hepatitis D Vaccine becomes Mandatory,Monroe,Monroe,32.50931,-92.1193,US,49598.0,0,-92.1193,32.50931
355,New medicine wipes out Dengue in Saginaw,Saginaw,Saginaw,43.41947,-83.95081,US,49347.0,0,-83.95081,43.41947
356,Spike of Rhinovirus Cases in Sevierville,Sevierville,Sevierville,35.86815,-83.56184,US,16490.0,0,-83.56184,35.86815
357,Duisburg up in Arms over Mad Cow Disease,Duisburg,Duisburg,51.43247,6.76516,DE,504358.0,2,6.76516,51.43247
358,New medicine wipes out Mumps in Saint Charles,Saint Charles,Saint Charles,38.78394,-90.48123,US,65794.0,0,-90.48123,38.78394
359,Case of Chikungunya Reported in Gaithersburg,Gaithersburg,Gaithersburg,39.14344,-77.20137,US,67456.0,0,-77.20137,39.14344
360,How to Avoid Respiratory Syncytial Virus in San Bernardino,San Bernardino,San Bernardino,34.10834,-117.28977,US,216108.0,0,-117.28977,34.10834
361,Laventille authorities confirmed the spread of Rhinovirus,Laventille,Laventille,10.64917,-61.49889,TT,21000.0,0,-61.49889,10.64917
362,More Zika patients reported in Waco,Waco,Waco,31.54933,-97.14667,US,132356.0,0,-97.14667,31.54933
363,Will Herpes vaccine help Newcastle?,Newcastle,Newcastle,-27.75796,29.9318,ZA,404838.0,8,29.9318,-27.75796
364,Erie County sets Zika traps,Erie,Erie,42.12922,-80.08506,US,99475.0,0,-80.08506,42.12922
366,How to Avoid Norovirus in Greenville,Greenville,Greenville,35.61266,-77.36635,US,90597.0,0,-77.36635,35.61266
367,More Zika patients reported in Calumpang,Calumpang,Calumpang,14.6228,121.0897,PH,15602.0,3,121.0897,14.6228
368,Zika symptoms spotted in Quisqueya,Quisqueya,Quisqueya,18.55542,-69.40814,DO,17694.0,0,-69.40814,18.55542
369,Rumors about Hepatitis D Spreading in Montreal have been Refuted,Montreal,Montréal,45.50884,-73.58781,CA,1762949.0,0,-73.58781,45.50884
370,Zika symptoms spotted in Fortaleza,Fortaleza,Fortaleza,-3.71722,-38.54306,BR,2400000.0,1,-38.54306,-3.71722
371,Rumors about Bronchitis spreading in Bundaberg have been refuted,Bundaberg,Bundaberg,-24.86621,152.3479,AU,50148.0,4,152.3479,-24.86621
372,Hepatitis A re-emerges in Stamford,Stamford,Stamford,41.05343,-73.53873,US,128874.0,0,-73.53873,41.05343
373,Schools in Huntington Closed Due to Rotavirus Outbreak,Huntington,Huntington,38.41925,-82.44515,US,48638.0,0,-82.44515,38.41925
374,Will Mad Cow Vaccine Help Bristol?,Bristol,Bristol,51.45523,-2.59665,GB,465866.0,2,-2.59665,51.45523
375,Chickenpox Comes to Stillwater,Stillwater,Stillwater,36.11561,-97.05837,US,48967.0,0,-97.05837,36.11561
376,The Spread of Meningitis in Imperial has been Confirmed,Imperial,Imperial,-13.05927,-76.35269,PE,32344.0,0,-76.35269,-13.05927
379,Case of Measles Reported in Springdale,Springdale,Springdale,36.18674,-94.12881,US,77859.0,0,-94.12881,36.18674
380,Norwalk Encounters Severe Symptoms of Malaria,Norwalk,Norwalk,33.90224,-118.08173,US,107140.0,0,-118.08173,33.90224
381,Zika arrives in Orange City,Orange,Orange,33.78779,-117.85311,US,140992.0,0,-117.85311,33.78779
382,Pilsen Encounters Severe Symptoms of Malaria,Pilsen,Pilsen,49.74747,13.37759,CZ,168733.0,2,13.37759,49.74747
383,Will Hepatitis B vaccine help La Paz?,La Paz,La Paz,-16.5,-68.15,BO,2004652.0,0,-68.15,-16.5
384,Zika Outbreak in Puducherry,Puducherry,Puducherry,11.93381,79.82979,IN,657209.0,7,79.82979,11.93381
385,More Zika patients reported in Carrollton,Carrollton,Carrollton,32.95373,-96.89028,US,133168.0,0,-96.89028,32.95373
386,Will Rabies vaccine help Tangier?,Tangier,Tangier,35.76727,-5.79975,MA,688356.0,2,-5.79975,35.76727
387,Zika symptoms spotted in Iquitos,Iquitos,Iquitos,-3.74912,-73.25383,PE,377609.0,0,-73.25383,-3.74912
388,West Nile Virus Exposure in Racine,Racine,Racine,42.72613,-87.78285,US,77742.0,0,-87.78285,42.72613
389,The Spread of Hepatitis E in Lansing has been Confirmed,Lansing,Lansing,42.73253,-84.55553,US,115056.0,0,-84.55553,42.73253
390,West Nile Virus Exposure in Alpharetta,Alpharetta,Alpharetta,34.07538,-84.29409,US,63693.0,0,-84.29409,34.07538
391,Pedro Juan Caballero Encounters Severe Symptoms of Pneumonia,Pedro Juan Caballero,Pedro Juan Caballero,-22.54722,-55.73333,PY,75109.0,1,-55.73333,-22.54722
392,More Zika patients reported in Melbourne,Melbourne,Melbourne,-37.814,144.96332,AU,4917750.0,4,144.96332,-37.814
393,Zika Troubles come to La Libertad,La Libertad,La Libertad,-2.233,-80.91039,EC,75881.0,0,-80.91039,-2.233
394,Herpes Vaccine is now Required in Mattoon,Mattoon,Mattoon,39.48309,-88.37283,US,18113.0,0,-88.37283,39.48309
395,Kent is infested with Rabies,Kent,Kent,47.38093,-122.23484,US,126952.0,0,-122.23484,47.38093
396,Zika symptoms spotted in Bonita Springs,Bonita Springs,Bonita Springs,26.33981,-81.7787,US,51704.0,0,-81.7787,26.33981
397,The Spread of Malaria in Brazzaville has been Confirmed,Brazzaville,Brazzaville,-4.26613,15.28318,CG,1284609.0,9,15.28318,-4.26613
398,More Zika patients reported in Fort Myers,Fort Myers,Fort Myers,26.62168,-81.84059,US,74013.0,0,-81.84059,26.62168
399,Zika spreads to Lewisville,Lewisville,Lewisville,33.04623,-96.99417,US,104039.0,0,-96.99417,33.04623
400,Ogden is infested with Gonorrhea,Ogden,Ogden,41.223,-111.97383,US,85444.0,0,-111.97383,41.223
401,Fort Hood Reports its First Zika Patient,Fort Hood,Fort Hood,31.13489,-97.77561,US,29589.0,0,-97.77561,31.13489
402,Huzhou Residents Receive Hepatitis B vaccine,Huzhou,Huzhou,30.8703,120.0933,CN,1015937.0,3,120.0933,30.8703
403,New medicine wipes out Rabies in Newburgh,Newburgh,Newburgh,41.50343,-74.01042,US,28290.0,0,-74.01042,41.50343
404,Iowa City Encounters Severe Symptoms of Rhinovirus,Iowa City,Iowa City,41.66113,-91.53017,US,74220.0,0,-91.53017,41.66113
405,Spike of Rabies Cases in Managua,Managua,Managua,12.13282,-86.2504,NI,973087.0,0,-86.2504,12.13282
406,Outbreak of Zika in Santa Elena,Santa Elena,Santa Elena,-2.22622,-80.85873,EC,42214.0,0,-80.85873,-2.22622
407,Mumps Hits Howard Beach,Howard Beach,Howard Beach,40.65788,-73.83625,US,26148.0,0,-73.83625,40.65788
408,The Spread of Gonorrhea in Reno has been Confirmed,Reno,Reno,39.52963,-119.8138,US,241445.0,0,-119.8138,39.52963
409,How to Avoid Rhinovirus in Plainfield,Plainfield,Plainfield,40.63371,-74.40737,US,51217.0,0,-74.40737,40.63371
410,Rumors about Varicella spreading in Carlsbad have been refuted,Carlsbad,Carlsbad,33.15809,-117.35059,US,114746.0,0,-117.35059,33.15809
411,Scranton authorities confirmed the spread of Gonorrhea,Scranton,Scranton,41.40916,-75.6649,US,77118.0,0,-75.6649,41.40916
412,Mad Cow Disease Disastrous to Brussels,Brussels,Brussels,50.85045,4.34878,BE,1019022.0,2,4.34878,50.85045
413,Zika spreads to Olinda,Olinda,Olinda,-8.00889,-34.85528,BR,366754.0,1,-34.85528,-8.00889
414,Hallandale Beach a Victim of Zika Outbreak,Hallandale Beach,Hallandale Beach,25.9812,-80.14838,US,39488.0,0,-80.14838,25.9812
415,Rhinovirus re-emerges in Storrs,Storrs,Storrs,41.80843,-72.24952,US,15344.0,0,-72.24952,41.80843
416,Germantown authorities confirmed the spread of Chickenpox,Germantown,Germantown,39.17316,-77.27165,US,86395.0,0,-77.27165,39.17316
417,Rumors about Rotavirus spreading in North Platte have been refuted,North Platte,North Platte,41.12389,-100.76542,US,24194.0,0,-100.76542,41.12389
418,Spike of Hepatitis C Cases in Golden,Golden,Golden,39.75554,-105.2211,US,20330.0,0,-105.2211,39.75554
419,Authorities are Worried about the Spread of Hepatitis D in Ganja,Ganja,Ganja,40.68278,46.36056,AZ,335600.0,11,46.36056,40.68278
420,Dengue Exposure in Kathmandu,Kathmandu,Kathmandu,27.70169,85.3206,NP,1442271.0,7,85.3206,27.70169
421,Tuberculosis has Arrived in Fairfield,Fairfield,Fairfield,38.24936,-122.03997,US,112970.0,0,-122.03997,38.24936
422,Outbreak of Zika in Kozhikode,Kozhikode,Kozhikode,11.24802,75.7804,IN,550440.0,7,75.7804,11.24802
423,Bronchitis Symptoms Spread all over Santa Fe,Santa Fe,Santa Fe,-31.64881,-60.70868,AR,391164.0,1,-60.70868,-31.64881
424,More Patients in Alexandria are Getting Diagnosed with Mumps,Alexandria,Alexandria,31.20176,29.91582,EG,5263542.0,10,29.91582,31.20176
425,Pneumonia Exposure in Alhambra,Alhambra,Alhambra,33.49838,-112.13432,US,127764.0,0,-112.13432,33.49838
426,Hepatitis C re-emerges in Damascus,Damascus,Damascus,33.5102,36.29128,SY,1569394.0,10,36.29128,33.5102
